SimpleMinEltMax,SmythIsectMax,NonincrementalInitialCreationMax,SmythFullSynth,IsectMax,RandomMinEltTotal,NonincrementalComputationTime,SmythInitialCreationTotal,MinifyMax,NonincrementalAcceptsTermMax,SimpleInitialCreationTotal,Test,InitialCreationMax,SimpleAcceptsTermTotal,NonincrementalLoopCount,RandomMinifyTotal,SimpleAcceptsTermMax,NonincrementalMinifyTotal,SmythComputationTime,RandomFullSynthMax,FullSynth,NonincrementalIsectMax,SmythIsectTotal,RandomInitialCreationMax,SimpleInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SmythFullSynthMax,SmythMinEltTotal,SmythMinEltMax,NonincrementalMinifyMax,SmythLoopCount,NonincrementalMinEltMax,RandomMinEltMax,SimpleLoopCount,NonincrementalIsectTotal,LoopCount,SimpleIsectTotal,RandomComputationTime,AcceptsTermTotal,MinEltTotal,RandomAcceptsTermMax,NonincrementalMinEltTotal,FullSynthMax,SmythAcceptsTermTotal,SimpleFullSynth,RandomInitialCreationTotal,AcceptsTermMax,IsectTotal,SmythMinifyMax,SimpleMinifyMax,MinEltMax,NonincrementalFullSynth,RandomFullSynth,NonincrementalFullSynthMax,MinifyTotal,RandomIsectTotal,SmythAcceptsTermMax,NonincrementalAcceptsTermTotal,RandomLoopCount,ComputationTime,NonincrementalInitialCreationTotal,SimpleMinifyTotal,RandomMinifyMax,SimpleFullSynthMax,RandomIsectMax,InitialCreationTotal,RandomAcceptsTermTotal,SmythMinifyTotal,SimpleIsectMax,SmythInitialCreationMax
0,0,0,0,0,0,0.04,0,0,0,0,bool-always-false,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02,0,0,0,0,bool-always-true,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-band,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-bor,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.03,0,0,0,0,bool-impl,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02,0,0,0,0,bool-neg,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-xor,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.19,0,0,0,0.02,list-append,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0,0.09,0.03,0,0,0,0,0,0,0,0,0.01,0,0.01,0.08,0,0.01,0,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.19,0.08,0.01,0,0,0,0.10,0,0,0,0
0.04,\incorrect,0.03,\incorrect,0.13,1.09,1.22,\incorrect,0.04,0,0.12,list-compress,0.03,0,0,4.14,0,0.18,\incorrect,0,0,0.13,\incorrect,0.06,0.03,1.72,0.10,\incorrect,\incorrect,\incorrect,0.04,\incorrect,0.08,0.27,0,0.50,0,1,13.67,0,0.17,0,0.29,0,\incorrect,0,1.58,0,0.29,\incorrect,0.06,0.09,0,0,0,0.41,4.33,\incorrect,0,0,1.12,0.12,0.37,0.23,0,0.77,0.08,0,\incorrect,0.14,\incorrect
0,0,0.01,0,0,0.01,0.07,0,0,0,0.01,list-concat,0.01,0,0,0,0,0,0.04,0,0,0,0,0.01,0.01,0.08,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0.08,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.07,0.02,0,0,0,0,0.02,0,0,0,0
0.09,0,0.01,0,0.07,0.01,2.98,0,0.06,0,0.07,list-drop,0.02,0,0,0.01,0,0.39,0.08,0,0,0.07,0,0.01,0.01,0.55,0.17,0,0,0,0.07,0,0.30,0.01,0,0.42,0,0.13,0.13,0,1.02,0,1.53,0,0,0,0.03,0,0.27,0,0.06,0.32,0,0,0,0.23,0.01,0,0,0,1.90,0.36,0.12,0,0,0,0.18,0,0,0.08,0
0,0,0,0,0,0,0.12,0,0,0,0.02,list-even-parity,0,0,0,0.01,0,0.01,0.07,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.08,0,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0.07,0.02,0.01,0,0,0,0.01,0,0,0,0
\incorrect,0,0.01,0,0.02,0.03,0.96,0,0.01,0,\incorrect,list-filter,0,\incorrect,0,0.04,\incorrect,0.11,6.21,0,0,0.01,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0.01,0,0.02,0.01,\incorrect,0.16,0,\incorrect,0.34,0,0.11,0,0.17,0,0,\incorrect,0.14,0,0.11,0,\incorrect,0.01,0,0,0,0.10,0.03,0,0,0,0.64,0.41,\incorrect,0.01,\incorrect,0.01,0.21,0,0,\incorrect,0
0.01,0,0.02,0,0.02,0.02,0.20,0,0.01,0,0.05,list-fold,0.02,0,0,0.02,0,0.02,1.49,0,0,0.02,0,0.02,0.02,0.19,0.01,0,0,0,0.01,0,0.02,0.02,0,0.03,0,0.04,0.19,0,0.02,0,0.02,0,0,0,0.04,0,0.03,0,0.01,0.02,0,0,0,0.02,0.03,0,0,0,0.20,0.05,0.02,0.01,0,0.02,0.04,0,0,0.02,0
0,0,0,0,0,0,0.04,0,0,0,0.01,list-hd,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0.01,0,0,0,0
\incorrect,0,0,0,0,0.94,0.08,0,0,0,\incorrect,list-inc,0.01,\incorrect,0,0.15,\incorrect,0,0.07,0,0,0,0,0.11,\incorrect,\incorrect,\incorrect,0,0,0,0,0,0,0.80,\incorrect,0,0,\incorrect,1.93,0,0,0,0,0,0,\incorrect,0.48,0,0,0,\incorrect,0,0,0,0,0,0.15,0,0,0,0.07,0.03,\incorrect,0.07,\incorrect,0.09,0.03,0,0,\incorrect,0
0,0,0.01,0,0,0,0.07,0,0,0,0.01,list-last,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0.02,0,0,0,0.01,0.01,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,list-length,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.08,0,0,0,0.01,list-map,0,0,0,0.01,0,0,0.49,0,0,0,0,0,0,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0.02,0,0,0,0,0.01,0,0,0,0
\incorrect,0,0.01,0,0.22,0.16,4.99,0,0.21,0,\incorrect,list-nth,0,\incorrect,0,0.32,\incorrect,1.58,0.07,0,0,0.22,0,0.01,\incorrect,\incorrect,\incorrect,0,0,0,0.23,0,0.12,0.14,\incorrect,1.63,0,\incorrect,0.85,0,0.33,0,0.93,0,0,\incorrect,0.02,0,0.60,0,\incorrect,0.12,0,0,0,0.62,0.25,0,0,0,1.97,0.27,\incorrect,0.21,\incorrect,0.22,0.08,0,0,\incorrect,0
\incorrect,0,0.10,0,0.06,0.41,1.37,0,0.03,0,\incorrect,list-pairwise-swap,0.10,\incorrect,0,0.07,\incorrect,0.05,0.31,0,0,0.05,0,0.12,\incorrect,\incorrect,\incorrect,0,0,0,0.02,0,0.66,0.39,\incorrect,0.09,0,\incorrect,1.59,0,0.74,0,0.76,0,0,\incorrect,0.92,0,0.08,0,\incorrect,0.66,0,0,0,0.05,0.08,0,0,0,13.10,0.39,\incorrect,0.02,\incorrect,0.05,0.28,0,0,\incorrect,0
\incorrect,0,0.04,0,0.02,0.36,1.55,0,0.01,0,\incorrect,list-rev-append,0.04,\incorrect,0,1.18,\incorrect,0.09,0.08,0,0,0.02,0,0.86,\incorrect,\incorrect,\incorrect,0,0,0,0.01,0,0.09,0.03,\incorrect,0.11,0,\incorrect,33.60,0,0.92,0,0.75,0,0,\incorrect,30.26,0,0.17,0,\incorrect,0.09,0,0,0,0.14,0.90,0,0,0,2.01,0.52,\incorrect,0.05,\incorrect,0.06,0.70,0,0,\incorrect,0
0,0,0.02,0,0,0.02,0.08,0,0,0,0.03,list-rev-fold,0.02,0,0,0,0,0,0.07,0,0,0,0,0.02,0.02,0.07,0,0,0,0,0,0,0,0.02,0,0,0,0,0.13,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0.03,0,0,0,0
0.07,0,0.06,0,0.06,14.72,2.26,0,0.04,0,0.14,list-rev-snoc,0.05,0,0,0.39,0,0.05,0.04,0,0,0.06,0,0.07,0.07,0.90,0.07,0,0,0,0.04,0,1.95,14.71,0,0.06,0,0.40,16.12,0,1.92,0,1.95,0,0,0,0.11,0,0.06,0,0.11,1.92,0,0,0,0.05,0.61,0,0,0,2.22,0.12,0.26,0.36,0,0.60,0.11,0,0,0.17,0
\incorrect,0,0.01,0,0,0,0.25,0,0,0,\incorrect,list-rev-tailcall,0.01,\incorrect,0,0,\incorrect,0.01,0.05,0,0,0,0,0.01,\incorrect,\incorrect,\incorrect,0,0,0,0,0,0,0,\incorrect,0.01,0,\incorrect,0.09,0,0.01,0,0.01,0,0,\incorrect,0.02,0,0.01,0,\incorrect,0,0,0,0,0.01,0,0,0,0,0.14,0.18,\incorrect,0,\incorrect,0,0.08,0,0,\incorrect,0
\incorrect,0,0.46,0,0.01,0,2.80,0,0.07,0,\incorrect,list-snoc,0.39,\incorrect,0,0.10,\incorrect,0.22,0.05,0,0,0.01,0,0.37,\incorrect,\incorrect,\incorrect,0,0,0,0.08,0,0.28,0,\incorrect,0.02,0,\incorrect,0.86,0,0.42,0,0.47,0,0,\incorrect,0.74,0,0.02,0,\incorrect,0.26,0,0,0,0.21,0.01,0,0,0,2.61,2.10,\incorrect,0.05,\incorrect,0.01,1.98,0,0,\incorrect,0
0.01,0,0.01,0,0.01,0.05,0.14,0,0.01,0,0.05,list-sort-sorted-insert,0.01,0,0,0.01,0,0,0.05,0,0,0,0,0.01,0.01,20.46,0.01,0,0,0,0,0,0,0.03,0,0,0,0.02,0.14,0,0.02,0,0,0,0,0,0.04,0,0.01,0,0.01,0.02,0,0,0,0.01,0.01,0,0,0,0.14,0.05,0.01,0.01,0,0.01,0.04,0,0,0.01,0
\incorrect,0,\incorrect,0,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,list-sorted-insert,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,1.64,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,0,0,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,0
\incorrect,0,0.53,0,0,0,6.86,0,0,0,\incorrect,list-stutter,0.57,\incorrect,0,0,\incorrect,0.01,0.04,0,0,0,0,0.54,\incorrect,\incorrect,\incorrect,0,0,0,0,0,0.01,0,\incorrect,0.01,0,\incorrect,2.06,0,0.02,0,0.02,0,0,\incorrect,1.99,0,0.01,0,\incorrect,0,0,0,0,0.01,0,0,0,0,6.44,6.72,\incorrect,0,\incorrect,0,6.28,0,0,\incorrect,0
0,0,0.03,0,0,0,0.23,0,0,0,0.06,list-sum,0.02,0,0,0.01,0,0.01,0.08,0,0,0,0,0.03,0.02,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.01,0,0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.19,0.13,0.01,0,0,0,0.10,0,0,0,0
4.18,0,\incorrect,0,\incorrect,0.12,\incorrect,0,\incorrect,\incorrect,0.22,list-take,\incorrect,0,\incorrect,0.15,0,\incorrect,0.07,0,\incorrect,\incorrect,0,0.01,0.04,58.98,18.02,0,0,0,\incorrect,0,\incorrect,0.11,0,\incorrect,\incorrect,19.22,0.49,\incorrect,\incorrect,0,\incorrect,\incorrect,0,0,0.05,\incorrect,\incorrect,0,10.47,\incorrect,\incorrect,0,\incorrect,\incorrect,0.13,0,\incorrect,0,\incorrect,\incorrect,20.90,0.12,0,0.13,\incorrect,0,0,9.57,0
0,0,0,0,0,0,0.05,0,0,0,0.01,list-tl,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0
0,0,0,0,0.01,0,0.29,0,0.01,0,0.03,nat-add,0,0,0,0,0,0.03,0.04,0,0,0.01,0,0,0,0.08,0.01,0,0,0,0.01,0,0.01,0,0,0.04,0,0.01,0.08,0,0.03,0,0.04,0,0,0,0.03,0,0.03,0,0,0.01,0,0,0,0.03,0,0,0,0,0.26,0.14,0,0,0,0,0.10,0,0,0,0
0.01,0,0,0,0,0,0.08,0,0,0,0.01,nat-iseven,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.44,0.35,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0,0,0,0,0.01,0,0,0,0
0.03,0,0,0,0.06,0.14,0.38,0,0.03,0,0.06,nat-max,0.01,0,0,0.25,0,0.07,0.13,0,0,0.07,0,0.01,0.01,0.38,0.04,0,0,0,0.03,0,0.03,0.05,0,0.15,0,0.18,1.23,0,0.04,0,0.06,0,0,0,0.06,0,0.10,0,0.03,0.03,0,0,0,0.09,0.69,0,0,0,0.33,0.05,0.08,0.06,0,0.22,0.04,0,0,0.08,0
0,0,0,0,0,0,0.03,0,0,0,0,nat-pred,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0.09,\incorrect,0.15,\incorrect,0.29,\incorrect,2.88,\incorrect,0.14,0,0.64,tree-binsert,0.17,0,0,\incorrect,0,0.26,\incorrect,\incorrect,0,0.23,\incorrect,\incorrect,0.14,2.17,0.14,\incorrect,\incorrect,\incorrect,0.09,\incorrect,0.18,\incorrect,0,0.65,0,0.99,\incorrect,0,0.46,\incorrect,0.49,0,\incorrect,0,\incorrect,0,0.50,\incorrect,0.08,0.28,0,\incorrect,0,0.65,\incorrect,\incorrect,0,\incorrect,2.16,1.33,0.36,\incorrect,0,\incorrect,0.41,\incorrect,\incorrect,0.24,\incorrect
\incorrect,0,0.01,0,0.07,0.01,0.13,0,0.06,0,\incorrect,tree-collect-leaves,0.04,\incorrect,0,0,\incorrect,0.01,0.08,0,0,0,0,0.01,\incorrect,\incorrect,\incorrect,0,0,0,0,0,0.01,0.01,\incorrect,0.01,0,\incorrect,0.12,0,0.78,0,0.01,0,0,\incorrect,0.02,0,0.07,0,\incorrect,0.77,0,0,0,0.07,0,0,0,0,1.17,0.06,\incorrect,0,\incorrect,0,0.12,0,0,\incorrect,0
0.02,0,0.01,0,0.02,0.07,0.54,0,0.01,0,0.02,tree-count-leaves,0,0,0,0.04,0,0.05,0.80,0,0,0.02,0,0.01,0,0.24,0.11,0,0,0,0.01,0,0.05,0.02,0,0.09,0,0.03,0.33,0,0.12,0,0.19,0,0,0,0.07,0,0.05,0,0.01,0.05,0,0,0,0.03,0.05,0,0,0,0.33,0.11,0.02,0.01,0,0.02,0.05,0,0,0.02,0
0.02,0,0.01,0,0.03,0.18,0.18,0,0.02,0,0.03,tree-count-nodes,0.01,0,0,0.26,0,0.02,0.39,0,0,0.03,0,0.01,0.01,0.24,0.03,0,0,0,0.01,0,0.03,0.08,0,0.04,0,0.07,0.81,0,0.04,0,0.04,0,0,0,0.04,0,0.04,0,0.02,0.03,0,0,0,0.03,0.20,0,0,0,0.18,0.03,0.04,0.03,0,0.10,0.02,0,0,0.03,0
0.51,0,2.51,0,1.15,\incorrect,10.09,0,0.65,0,3,tree-inorder,2.77,0,0,\incorrect,0,0.73,0.08,\incorrect,0,0.97,0,\incorrect,2.68,8.89,0.52,0,0,0,0.72,0,5.45,\incorrect,0,0.99,0,3.46,\incorrect,0,5.94,\incorrect,5.47,0,0,0,\incorrect,0,1.16,0,0.77,5.94,0,\incorrect,0,0.67,\incorrect,0,0,\incorrect,10.74,2.84,1.86,\incorrect,0,\incorrect,2.93,\incorrect,0,1.88,0
\incorrect,0,0.04,0,0.01,0.01,0.58,0,0.01,0,\incorrect,tree-map,0.04,\incorrect,0,0.03,\incorrect,0.02,1.02,0,0,0.01,0,0.04,\incorrect,\incorrect,\incorrect,0,0,0,0,0,0.01,0.01,\incorrect,0.01,0,\incorrect,0.30,0,0.03,0,0.02,0,0,\incorrect,0.14,0,0.03,0,\incorrect,0.01,0,0,0,0.04,0.03,0,0,0,0.58,0.46,\incorrect,0.01,\incorrect,0.02,0.42,0,0,\incorrect,0
2.53,\incorrect,0.01,\incorrect,12.45,\incorrect,38.79,\incorrect,4.61,0,0.07,tree-nodes-at-level,0.01,0,0,\incorrect,0,8.19,\incorrect,\incorrect,0,12.54,\incorrect,\incorrect,0.01,54.45,3.79,\incorrect,\incorrect,\incorrect,4.66,\incorrect,4.37,\incorrect,0,20.14,0,34.20,\incorrect,0,7.20,\incorrect,10.23,0,\incorrect,0,\incorrect,0,15.86,\incorrect,4.08,4.57,0,\incorrect,0,16.18,\incorrect,\incorrect,0,\incorrect,39.69,0.09,16.28,\incorrect,0,\incorrect,0.04,\incorrect,\incorrect,8.51,\incorrect
0.44,\incorrect,0.13,\incorrect,1.96,0.40,4.25,\incorrect,0.47,0,0.72,tree-postorder,0.14,0,0,0.71,0,0.51,\incorrect,0,0,1.77,\incorrect,0.13,0.13,7.86,0.49,\incorrect,\incorrect,\incorrect,0.44,\incorrect,0.76,0.31,0,1.94,0,5.02,4.17,0,0.78,0,0.91,0,\incorrect,0,0.38,0,2.05,\incorrect,0.53,0.69,0,0,0,0.64,2.58,\incorrect,0,0,3.97,0.77,1.54,0.45,0,2.22,0.41,0,\incorrect,2.54,\incorrect
\incorrect,0,0.01,0,0.01,\incorrect,0.34,0,0,0,\incorrect,tree-preorder,0.01,\incorrect,0,\incorrect,\incorrect,0.02,0.13,\incorrect,0,0.01,0,\incorrect,\incorrect,\incorrect,\incorrect,0,0,0,0.01,0,0.01,\incorrect,\incorrect,0.02,0,\incorrect,\incorrect,0,0.02,\incorrect,0.03,0,0,\incorrect,\incorrect,0,0.01,0,\incorrect,0.01,0,\incorrect,0,0.01,\incorrect,0,0,\incorrect,0.29,0.17,\incorrect,\incorrect,\incorrect,\incorrect,0.08,\incorrect,0,\incorrect,0
